id,status,sentences
nyt://article/300f388e-fe17-5f03-a3d6-b493bf24fc64,Success,"['His wife dies giving birth to their second son, who is found to be a deaf mute.', ""Their elder boy, Karl, refusing to follow his father's bell-ringing career and preferring such barbarities as aeronautics, runs off to America.Reconciled after several years, Freyman goes to America to arrange for a great specialist to restore the deaf Gabriel's hearing.""]"
nyt://article/30d536bb-f729-5079-8585-82d75448dd28,Success,"['In “The Miracle Worker,” Annie Sullivan, the spirited teacher, is being played by Patty Duke Astin, who 20 years ago was Helen Keller, the rebellious blind, deaf and mute student, on Broadway.', 'The broadcast is being presented by I.B.M., which is joining with the National Association of the Deaf to distribute 500,000 copies of the script to schools and public libraries across the nation.']"
nyt://article/30fd5dd0-26a1-53f1-8359-6a91f558f2c0,Full text is unavailable for this digitized archive article.,"[""A MOTHER'S PETITION.; A WIDOW SUING TO HAVE HER TWO DEAF MUTE CHILDREN BROUGHT TOGETHER THE HISTORY OF A MUCH-MARRIED MAN.""]"
nyt://article/310c138f-7858-5d0e-a564-6dc55dc16f58,Success,"['Two couples (Tekaf and Ginon, both deaf mutes, and Balayem and Sindi, just married) are child less; three other couples and Tefonak, a widower, each have two children.']"
nyt://article/319d6727-3f7e-53e7-9d6a-01c4b4b0bfb3,Success,"['“The last freedom, the final authenticity,” he argues, “may indeed be that of the deaf mute.” ADVERTISEMENT When Steiner courts controversy, his word choices often splash egg on his face.']"
nyt://article/31b8cc62-f419-5005-97a6-e6db6ce20917,Full text is unavailable for this digitized archive article.,"['DEAF MUTE KILLS WIFE, BABY, TELLS POLICE']"
nyt://article/31e3d3b4-d240-5f5e-9186-a604e9f5d274,Full text is unavailable for this digitized archive article.,['Athletic Meet for Deaf Mutes.']
nyt://article/323b33d0-6eef-5922-9ef4-9fd4648e34fc,Success,['It is credited to Jean Collomb.The girl in the case is Janine Magnan as a deaf-mute who is picked up by one of the chaps.']
nyt://article/3285fa31-d828-5a4c-bf4b-a52638cebc43,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  1 At the meeting of the Anthropological Society, held at the Smithsonian Institution on Tuesday, 1st inst., Prof. Samuel Porter, of the National Deaf-mute College, at Kendall Green, read a very interesting paper entitled"" Is There Thought Without Language?', 'Case of a Deaf-mute.""', 'THOUGHT WITHOUT LANGUAGE.; THE NARRATIVE OF A DEAF-MUTE--HIS FIRST THOUGHTS AND EXPERIENCES.']"
nyt://article/32b89b6f-58cc-5930-ad7a-7f3a7409c80a,Full text is unavailable for this digitized archive article.,"['1.--Charles Swift and Jacob Reislock, pupils at the Institute for the Deaf and Dumb, were drowned to-day by the breaking of ice on a pond.', 'TWO DEAF-MUTES DROWNED.']"
nyt://article/32fd0475-d3cc-57b3-96ab-0780ca264035,Success,"[""Mr. EGAN at St. Ann's (the Church for Deaf Mutes;) Rev.""]"
nyt://article/332899be-0ed9-57f4-9d32-a9e780b60527,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  The Hebrew Congregation for the Deaf, the first organization of deaf mutes in the United States for Jewish worship, held its, opening service last night at the Temple Emau-el, at Fifth Avenue and Forty-third Street.', 'One hundred and twenty-five deaf mutes atended.', 'HEBREW DEAF MUTES UNITE IN WORSHIP; First Jewish Congregation for the Afflicted Holds a Service in Temple Emanuel.']"
nyt://article/33649206-42be-5530-b49f-be1c5dad583b,Full text is unavailable for this digitized archive article.,"['28.--An appeal was made to the public by the State Department today for assistance in establishing the identity of a deaf mute, totally illiterate, about 23 years of age, who was found wandering aimlessly in the streets of Callao, Peru, on Nov. 10 and is now in charge of the American Embassy there.', 'ASKS HELP TO IDENTIFY DEAF MUTE IN PERU; State Department Believes the Home of Wanderer Is in Philadelphia.']"
nyt://article/33798a71-ecc4-5b82-b9c9-b0c268367d8e,Full text is unavailable for this digitized archive article.,"[""ADVERTISEMENT  Dr. Harris Taylor, Supervisor of the Education of the Blind and Deaf of the New York Special Schools Bureau, was the guest of honor at the golden jubilee dinner of the Deaf-Mutes' Union League held last night at the Hotel Astor."", ""DEAF-MUTES' LEAGUE HONORS DR. TAYLOR; Supervisor Stresses the Need of Improved Schools to Meet Depression Conditions.""]"
nyt://article/339b0876-fed8-592f-ac2c-2068e3ac4b77,Success,"[""He has been here for six weeks, starring in “Shanks,” a Gothic fairy tale produced and directed by William Castle, the producer of “Rosemary's Baby.” Everyone involved plays with the fantasy that “Shanks” will be “another ‘Rosemary's Baby,’” although Castle's track record also includes “Homicidal” and “The Tingler.” ‘I was born to be a mime,’ says Marceau, ‘as a fish is born to be in water’ Whatever the artistic outcome of Malcolm Shanks—a deaf‐mute puppeteer who s?"", 'As Malcolm Shanks, he is deaf and mute, As Old Walker, a half‐mad scientist, he speaks for the first time in a film or on stage.']"
nyt://article/33acf63e-0686-5a0c-a8a3-91dda0d21750,Full text is unavailable for this digitized archive article.,['THE DEAF-MUTE TEACHERS.; A CONVENTION TO CONSIDER THE METHODS OF INSTRUCTION.']
nyt://article/33c9f7fb-28af-59fc-8638-b26f311df0ff,Success,"['Born a deaf‐mute, or phaned at 13, Mr. Blevins has eked out a living all these years by making chairs in the traditional hand‐hewn man ner of his native Appalachia.']"
nyt://article/33d96d91-f56b-5179-9612-0f6d9b7cb022,Success,"['Last year, she ran alongside a blind, deaf and mute man in the New York City Marathon to help guide him through the course.']"
nyt://article/33e0d4fb-a61d-5395-98e7-d1f6a761fc66,Success,"['She becomes infatuated with Mahesh (Mahesh Jugal Kishor), the young man who delivers the letter telling her she has been selected for the show, not realizing he is deaf and mute.']"
nyt://article/34c3c87d-08aa-5b39-ba3f-65a240a5ecd8,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  Without speech or laughter, over 200 deafmutes danced Wednesday night to strains of music they could, not hear.', 'DANCING TO UNHEARD MUSIC.; Deaf-Mutes Go Through Intricate Figures With Perfect Time and Grace.']"
nyt://article/34c4022f-5338-5e3a-9d91-0eb86a257ecc,Full text is unavailable for this digitized archive article.,"[""26.--Charles Morris, a 16-year-old deaf mute, was struck by a train on the Pennsylvania Railroad between this city and Bordentown at 1 o'clock this afternoon."", 'He was a pupil at the State school for deaf mutes, and had undertaken to walk to Bordentown for exercise.', 'A DEAF MUTE CUT TO PIECES.']"
nyt://article/34c6a867-08b1-5cb1-9ff4-be0f181bcb80,Success,"[""'' For the teenage Florya, played vividly by Alexei Kravchenko, the romance of fighting for the motherland is soon stripped away as a German plane flies overhead, dropping bombs and paratroopers and leaving him temporarily deaf and mute.""]"
nyt://article/34ce7444-786a-5f72-a493-3c8a1ce2ccfd,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  This is now the seventeenth year of the operation of the institution for the deaf and dumb in Belleville.', 'The law provides that deafmutes, from the age of 7 up to the age of 20, may have the privileges of board and training.', 'DEAF-MUTES AND THEIR CHILDREN.']"
nyt://article/3595a107-e5fb-5e49-8316-02482eda0d36,Success,"[""Among the most resourceful was the ''deaf mute'' variation.""]"
nyt://article/35b85121-1bb6-59fa-a7e4-cd7c74162ee0,Full text is unavailable for this digitized archive article.,"['--A special performance of ""Pilate\'s Daughter,"" the nation\'s oldest passion play, will be given tomorrow for deaf-mutes with the dialogue being interpreted by a sign language expert.', 'The deaf-mutes will come from Greater Boston, Worcester, Springfield, Fall River, Hartford, Conn., and Providence, R.I. VIEW FULL ARTICLE IN TIMESMACHINE » ADVERTISEMENT', 'Passion Play for Deaf-Mutes']"
nyt://article/35ce47f0-4663-5e83-aef8-017a14c26632,Full text is unavailable for this digitized archive article.,"['-- Charles Schrager, a 38-year-old deaf-mute, beat his younger sister to death with a claw hammer today because, so he said in a note, her ""actions repeatedly cast a shadow on our lives and disturbed the tranquility of our home.""', ""DEAF MUTE SLAYS HYSTERICAL SISTER; Philadelphian Uses Hammer -- Note Calls Act the 'Best Solution of Problem.'""]"
nyt://article/35fb2a0f-4d89-5b51-8f51-f4a23cd85fc2,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  The seventy-eighth annual commencement of the New-York Institution for the Instruction of the Deaf and Dumb took place yesterday in the chapel of the institution, One Hundred and Sixty-third Street and Eleventh Avenue.', 'DEAF MUTES COMMENCEMENT; Nellic E. Lorigan and Herman [...] Gain the Highest Honors.']"
nyt://article/36203a07-15b6-5d56-8e5e-efc7d77687b5,Full text is unavailable for this digitized archive article.,['DR. GALLAUDET IN ENGLAND.; HE TELLS THE BRITISH PUBLIC OF HIS WORK AMONG DEAF MUTES.']
nyt://article/366750d0-92f6-50f2-a2ee-9b9fa85734c8,Success,"['ADVERTISEMENT  THE CITY By United Press International Three teen-agers suspected in a string of subway robberies were arrested yesterday and charged with robbing and assaulting a deaf-mute aboard a Manhattan train, the Transit Authority police said.']"
nyt://article/36aff09e-04cd-5a9f-bc32-b425e042742d,Success,"['The muscles of their faces are rigid, and though standing somewhat wearily, they are as imperturbable as a deaf, blind mute would be asleep.']"
nyt://article/36c5c5b5-73a6-5426-8bda-dd070596c55a,Success,"['ADVERTISEMENT  “DUMMY”‐Paul Sorvino (right) plays a deaf lawyer who takes on the case of an illiterate deaf mute, LeVar Burton, accused of murder.']"
nyt://article/37dbfc1b-8517-5418-809c-f8f03c8afaf1,Full text is unavailable for this digitized archive article.,"[""Dr. Thomas Gallaudot, whose name is so inseparably connected with the mission which distinguishes St. Ann's as the only church devoted to the spiritual care of deaf mutes."", ""DR. GALLAUDET'S FAREWELL; HIS LAST SERMON AS ACTIVE RECTOR OF ST. ANN'S. AFTER FORTY YEARS' SERVICE HE BECOMES RECTOR EMERITUS -- HOW THE DEAF-MUTE CHURCH WAS BUILT UP -- HIS SUCCESSOR THE REV. DR. KRANS -- A USEFUL LIFE.""]"
nyt://article/38256759-683c-5e1f-a3b5-56fc5e6b75ca,Full text is unavailable for this digitized archive article.,"['""Talkie"" in Deaf-Mute Signs Filmed for Rochester League']"
nyt://article/3844011e-7390-50a2-925b-fe162fd6ffe3,Full text is unavailable for this digitized archive article.,['THE DEAF-MUTES AT FORDHAM.']
nyt://article/389e5747-623c-5287-b16f-9e2f1c65453c,Success,"['For a deaf-mute Tokyo teenager (Rinko Kikuchi), it seems only slightly less crucial, and all but impossible; angry or crudely sexual body language is the best she can manage, though she can tell it isn’t getting her very far.']"
nyt://article/38a232a8-08df-56cb-bd3b-55bffb3ecafd,Success,"[') The supporting-actor category was notable for its eclecticism, with Jackie Earle Haley\'s portrayal of a pedophile in ""Little Children"" being recognized, as was Rinko Kikuchi\'s role in ""Babel"" as a deaf-mute Japanese girl with a lot on her mind.']"
nyt://article/38b924bd-fcf8-5c77-9920-9dd3e7c07c44,Full text is unavailable for this digitized archive article.,"['LUTHER TAYLOR, 82, DIES; Deaf-Mute Pitched for the Giants From 1900 to 1908']"
nyt://article/38d50e57-3982-5061-b9c7-e0165f44571f,Success,"[""the boss's wife.” His versions, fortunately, are less reductive, and we're given not only the well‐known ballad of the man who got his way for a week with two boss's wives by pretending to be a deaf‐mute and then had to pleasure them 188 times (“My breech‐strap near broke at that rate, /Also my reins”), but Such sweetness swells through these new days, The woods take leaf; each bird must raise .""]"
nyt://article/3907408f-1917-5fa6-aa2e-0bb6a535bb9a,Full text is unavailable for this digitized archive article.,"[""Michael J. Scanlan and Stephen Smith, members of the State Board of Charities, began in the United Charities Building yesterday afternoon a hearing on the charges that have been made against the Institution for the Improved Instruction of Deaf-Mutes, this city, by Henry M. Lechtrecker, the board's Inspector."", ""DEAF-MUTES' INSTITUTION.; Investigation of the Charges by the State Board of Charities.""]"
nyt://article/394a41d3-c6f1-5ee0-ac9e-2b400fce01a4,Success,"['ADVERTISEMENT  CAPTIVE IN QUEENS: MEXICO By Sam Dillon A Roman Catholic priest who ministers to deaf people summoned his flock to an emergency meeting after morning Mass today in his parish church here.', 'With someone translating in sign language, he warned them about people who seduce deaf Mexicans into traveling to the United States to labor as street vendors.', ""''Look at the papers saying they enslaved deaf people in New York City,'' the Rev."", 'Martin Montoya said, holding aloft local newspapers reporting today on the rescue of 57 deaf Mexican immigrants from abusive employers.', 'Passing the word through hand signs and lip-reading, thousands of deaf Mexicans shared the stunning story of the deaf immigrants who the police say were held in forced labor in New York.', 'The news aroused considerable alarm, confirming widespread rumors of ill treatment suffered by the thousands of deaf Mexicans who travel to the United States each year to sell trinkets on streets from Los Angeles to Queens.', ""''This gives me an ugly feeling,'' said Juana Martinez, a 39-year-old deaf woman who heard the news during Father Montoya's meeting at the San Hipolito church in downtown Mexico City."", ""ADVERTISEMENT The events in New York transfixed not only deaf people; several of the city's largest newspapers led today's editions with the news."", ""''They Enslaved the Deaf Mutes!''"", 'In Mexico, Tales of Deception Confirm the Fears of the Deaf']"
nyt://article/3950acea-d52d-5e4c-a172-73875857febe,Success,"['Miss Trevino, who is deaf and mute, received a special $150 award for her high school graduation and for encouraging eight social workers and friends to learn sign language.', 'Miss Trevino plans to attend the National Technical Institute for the Deaf in Rochester this fall and wants to become a social worker.']"
nyt://article/39a3d2af-e163-5375-8e8a-2d74c34ed28b,Full text is unavailable for this digitized archive article.,['Deaf Mutes Accuse Police']
nyt://article/39cac7f4-662b-5d8a-a057-afec29a3ba13,Success,"[""Her job immediately becomes more than capping tubes of cadmium yellow and washing brushes because the complex and often erratic Garson (Inspector Noserag when lie dons his deerstalker) has rented out a firstfloor apartment to Manny and Shrimps and is oddly protective toward a hideously mangled deaf mute who lives in the basement making exquisite frames for Garson's paintings.""]"
nyt://article/3a0ca758-a908-5ddf-8eab-fbb98fcc4da8,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  BOSTON, May 24.--Laura Bridgman, the celebrated blind and deaf mute, died to-day at the Perkins Institution for the Blind at South Boston.', 'LAURA D. BRIDGMAN DEAD.; THE CAREER OF THE CELEBRATED BLIND AND DEAF MUTE.']"
nyt://article/3a8e3c2f-70e3-588e-85b6-2253e61298c8,Success,"[""ST. ANN'S CHURCH FOR DEAF MUTES.; THE FALLACY OF STATE SOVEREIGNTY.""]"
nyt://article/3a97d09a-236d-5e8f-954f-8f9e72fabb31,Success,"['ADVERTISEMENT  Because a 6‐year‐old boy became deaf‐mute and suffered permanent brain damage while a patient three years ago in Roosevelt Hospital, the hospital has agreed to pay $990,000 in compensation to his parents.']"
nyt://article/3b23e947-eaa2-53d9-ac30-eb16c381a391,Success,"['Like a deaf mute I stood by his side, watchful of anything or anybody that could penetrate the enclosure we had built so his work could go on undisturbed.']"
nyt://article/3b9f3cb3-66a5-5cfe-9fdd-8cf3348ef5b4,Full text is unavailable for this digitized archive article.,['EATING A DINNER IN SILENCE.; BANQUET BY DEAF-MUTES TO DR. GALLAUDET ON HIS RETURN.']
nyt://article/3c5c7642-be41-521c-88d8-a48048e276bb,Success,"['As a tribute to her 35 years as executive director of what is now the New york Society for the Deaf, they have named the recently completed 137‐unit apartment tower at 612 East 13th Street “Tanya Towers.” She, retired from the society An 1968—though she stays active as consultant‐‐and her visits to Tanya Towers, if the one a few days ago is any measure, excite an outpouring of warmth and a flurry of fingers.', '“The deaf are lovable people,” Mrs. Nash said.', 'All the tenants are elderly, but only half are deaf and mute.', 'The New York Society for the Deaf is nearby also, at 344 East 14th Street.', ""When crime became a greater public concern, Mrs. Nash felt that it was necessary to build a housing facility‐for the elderly, deaf near the agency's offices."", '“Hearing people can go to the friend around the corner, the neighbor next door, but the deaf often have no one to visit and are terribly isolated socially,” Mrs. Nash said.', ""The society's board agreed, rind at the numerous public hearings that preceded final approval of Mitchell‐Lama financing Mrs. Nash acted as interpreter for the deaf."", 'The New York Society for the Deaf was founded in 1911 as the Society for the Welfare of the Jewish Deaf.', 'In 1951 the society changed its name to the Jewish Society for the Deaf, and 15 years, later it assumed its present name.', '“We have really been nonsectarian all along and on high Jewish holidays many of the Christian deaf would come back to see their old friends,” Mrs. Nash said.', 'There are about 18,000 to 20,000 so‐called profoundly deaf people—those who were born without hearing‐in the metropolitan area and about seven or eight times that.', 'The society, which works with the profoundly deaf, is involved in job placement areas as printing, keypunch operation, typing, packaging, warehousing and computers.', 'Joseph G. Blum, an attorney who is chairman of the society, said that occupational discrimination had kept most of the profoundly deaf in lower economic brackets.', 'which means “Tanya Towers,” a new residence for the deaf named in honor of a lively septuagenarian, Mrs. Tanya Nash']"
nyt://article/3cd6452b-197a-55a2-add2-3d271782682f,Success,"['In the Noviye Emkali district, Ikram Bisultanov, a former school principal, shared a breakfast of wild garlic stems and tea with his eldest child, Soslan, 22, a deaf mute from birth who became a good student, an exceptional wrestler and a hard worker at the carwash business his father set up for him.']"
nyt://article/3d109b3e-11c3-515b-8889-19b7e049dce7,Success,"[""Mr. Chagall's talents as novelist (''Diary of a Deaf Mute'') and reporter often cancel each other, as do his efforts to make his subjects appear both colorful and innocent.""]"
nyt://article/3d7707cd-ce45-5cb2-9412-00fcf48d7675,Full text is unavailable for this digitized archive article.,"['LETTERS TO THE EDITOR.; SOUTHERN HOMES. INTELLIGENCE, BENEVOLENCE, AND INDUSTRY OF SOUTHEEN WOMEN HOMES INTHE SOUTH UNPRETENTIOUS BUTPRETTY. LIFE INSURANCE INVESTIGATION. NOW EXAMINATIONS CAN BE CONDUCTED IN THE INTEREST OF THE POLICYHOLDERS. SCARLET FEVER. SEVENTY YEARS AGO. IDEALISTIC PICTURES OF THE ""GOOD OLD TIMES"" THE DISCOMFORTS OF SEVENTY YEARS AGO COMPARED WITH THECOMFORTS OF THE PRESENT DAY AHIGHER HUMANITY. THE HAMBURG MASSACRE. M.C. BUTLER THE INSTIGATOR WHY THE MURDERERS WERE RELEASED DEMOCRATIC FALSE SWEARING AND INTIMIDATION. TESTING BRIDGES. SLEEPING-CAR GRIEVANCES. CRUELTY TO CHILDREN. THE SECURITY (1) LIFE. DRAWINGS LOTS FOR THE PRESIDENCY. THE BELGIUM TOWING PLAN. ST. ANN\'S CHRUCH FOR DEAF MUTES. AN APPEAL TO THE CHARITABLE. MADISON AVENUE CARS.']"
nyt://article/3d9ba870-6850-5277-b195-7e3c4eac937c,Success,"[""The major stars all had previous Southern films to cut their teeth on -Sissy Spacek as the innocent Texas runaway in Terrence Malick's ''Badlands''; Sally Field in ''Stay Hungry'' as the down-home girl from the wrong side of the town in the country club world of Birmingham, Ala.; and Robert Duvall as the deaf mute in ''To Kill a Mockingbird'' and the dirt farmer in ''Tomorrow.''""]"
nyt://article/3dbd8ba2-247e-5a81-8f15-f0a289bdd678,Success,"['(Stephen Holden) ADVERTISEMENT ‘Barfi!’ (No rating, 2:05, in Hindi) This engagingly odd Hindi romantic comedy stars Ranbir Kapoor and Priyanka Chopra: He’s deaf and mute; she’s autistic; they fall in love.']"
nyt://article/3de90644-1778-5d23-bd15-1fe359674c0a,Success,"['ADVERTISEMENT Mr. Park\'s ambitions emerged with his next feature, the somber, slowly paced ""Sympathy for Mr. Vengeance"" (2002), a cautionary tale of a deaf-mute who kidnaps his employer\'s young daughter, intending to use the ransom money to pay for his sister\'s kidney transplant.']"
nyt://article/3e5053d4-f05e-561f-8310-53740b37da8b,Success,['I thought we had house full of deaf mutes.']
nyt://article/3e90d681-0439-5d21-89f5-512150968823,Full text is unavailable for this digitized archive article.,"[""ADVERTISEMENT  1 A number of deaf mutes celebrated the evening of Decoration Day by attending services at St. Ann's Protestant Episcopal Church in West Eighteenth-street, where a sermon was ... VIEW FULL ARTICLE IN TIMESMACHINE » ADVERTISEMENT"", 'PREACHING TO DEAF MUTES.']"
nyt://article/3f15315f-aed5-548f-baae-cacf81aac35b,Success,"['Mr. Hairston, a deaf-mute, was a professional boxer.']"
nyt://article/3f2e963a-4172-5708-b9df-8189aba8cbf0,Success,['Two are deaf-mute.']
nyt://article/3f32a53a-d98d-5953-a994-308f663f603d,Full text is unavailable for this digitized archive article.,"[""ADVERTISEMENT  The question of the loss of the free use of a finger and thumb, and its effect upon the plaintiff's employment of the sign language as a deaf-mute, was one of the points sharply contested in a suit brought by Moritz Swelig of 13 West One Hundred and Fifteenth Street."", 'VERDICT FOR DEAF-MUTE; $100 for Injury to a Finger and Thumb by Surface Car. His Counsel Argued that His Ability to Use the Sign Language Was Seriously Affected.']"
nyt://article/3f533859-7a08-509c-813f-1467c204de52,Success,['The last three are deaf mutes.']
nyt://article/3f6b0da7-429a-5cfe-8b31-5e0308838ea9,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  1 The convention of teachers of articulate communication to deaf-mutes held three long sessions in the morning, afternoon, and evening yesterday, in the Institution for the Improved Instruction of Deaf-mutes, at Sixty-seventh-street and Lexington-avenue.', 'MAKING THE DUMB TO SPEAK.; INTERESTING EXPERIMENTS BY THE TEACHERS OF DEAF-MUTES.']"
nyt://article/4041009a-346a-573a-8a93-6f1f2de93abc,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  1 POUGHKEEPSIE, N.Y., June 18.--The Gallaudet Home for Deaf Mutes, on the Hudson River, three miles above New-Hamburg, was officially opened yesterday afternoon.', 'GALLAUDET HOME FOR DEAF MUTES.']"
nyt://article/40b41b07-494d-59d9-b882-56308c85b890,Full text is unavailable for this digitized archive article.,"[""A CHILD'S DEATH-BED.; A PATHETIC STORY OF THE DYING VISIONS OF A LITTLE DEAF MUTE.""]"
nyt://article/413e8ab7-e912-52ae-ab48-a5f5b91087f1,Full text is unavailable for this digitized archive article.,"['THE SILENT COLLEGE.; A VISIT TO THE NATIONAL COLLEGE FOR DEAF MUTES. A CHARMING SITUATION ORIGIN AND HISTORY OF THE INSTITUTION THE IMPRESSIVE CHAPEL SERVICES IN THERE CITATION ROOM THE PUPILS\' QUICKNESS OF APPREHENSION SOME OF THEM TAUGHT TO SPEAK THE COLORED PUPILS DICK WHITTINGTON AND HIS DARK WAYS THE VALUABLE WORK OF THE COLLEGE NEW BUILDINGS GOING UP. THE BEGINNING OF ""THE SILENT COLLEGE."" THE CHAPEL ON SUNDAY. RECITATIONS OF THE DEAF-MUTES. THE DUMB SPEAK AND THE DEAF HEAR. THE CHEMICAL LABORATORY. PRIMARY INSTRUCTION. REMARKABLE RESULTS OF THE GOOD WORK.']"
nyt://article/4145cee5-b9de-53c5-ba5c-b99e2bf3f315,Full text is unavailable for this digitized archive article.,"['ADVERTISEMENT  1 Any one accustomed to the war cries of the Tammany chieftains and the deafening tones of the enthusiastic political orator would have been charmed had he been in Lyric Hall at Fortysecond-street and Sixth-avenue last evnning.', 'A SILENT INDORSEMENT; DEAF MUTES RATIFY THE NOMINATION OF CLEVELAND.CHEERS FLUTTERING SILENTLY THROUGH THE AIR AND BLAINE ROUNDLY DENOUNCED IN FINGERED LANGUAGE.']"
nyt://article/41e11888-bc22-52c2-9f36-fb9afa9f8d5f,Full text is unavailable for this digitized archive article.,"[""GRIFFITH'S MEN BEAT MONTGOMERY BY 4 TO 1; Newton and Puttmann Too Much for Southerners. CHAMPIONS' PRACTICE GAME Luther Taylor, the Deaf-Mute, Armed with Baseball Bat, Umpires Contest at Birmingham.""]"
nyt://article/423b044e-c0c0-572e-a3cc-f561f7bf8094,Full text is unavailable for this digitized archive article.,"[""ADVERTISEMENT  The generous labors of the Abbes DE L' EPEE and SICARD, opened a new field of inquiry to the philanthropist, and imparted a new impulse to the hitherto darkened intellect of the Deaf Mute."", 'DEAF MUTES.; The Statistics of the Class.']"
nyt://article/425e5ce2-2d73-59f4-8144-cbad645dd3cf,Success,"[""Creating what he calls ''11 minutes of silence,'' France's Claude Lelouch shows a deaf mute, played by Emmanuelle Laborit, writing a letter mourning the end of a love affair while the attack on the World Trade Center is reported on a television out of her view.""]"
nyt://article/42811070-c36c-5c69-add9-1e59d95dde74,Success,"[""When she won the best actress Oscar for playing a deaf-mute in ''Johnny Belinda'' (1948), Jane Wyman was succinct: ''I accept this very gratefully for keeping my mouth shut for once."", ""ADVERTISEMENT Equally moving were Louise Fletcher's sign-language acceptance of her 1975 best actress award so that her deaf parents could understand it, and Tom Hanks's deeply felt tribute to people who had died of AIDS-related illnesses when he received the best actor Oscar for ''Philadelphia.''""]"
nyt://article/428334fe-30d4-5930-82e5-c2f53c3cf31a,Success,"['My mother and brother couldn’t speak Chinese, so they pretended to be deaf and mute, and none of the Chinese passengers said anything, sparing us.']"
nyt://article/42dffa14-7997-5514-a9b8-5b64abec9835,Success,"[""Set in 1887, the play recounts the critical events in the first months of Annie Sullivan's struggle to teach the young deaf, mute and blind Helen Keller how to com‐municate with the rest of humanity."", 'It was much later that I saw that this piece, ostensibly one of struggle between a teacher and a deaf‐blind‐mute child, is also a parable of the artist and his material.']"
nyt://article/432e561a-d693-5424-94fd-adea5f673e58,Full text is unavailable for this digitized archive article.,"[""GIRL SHAKES OFF 10 PERSONALITIES; Final Stage Reached in Baffling Case of Psychological Developments. AFFLICTED FOR NINE YEARS Patient's Characteristics Changed Completely at Intervals -- One Blind and Once Deaf Mute.""]"
nyt://article/43c16256-f26a-5fad-a06d-dd4cc1de2276,Full text is unavailable for this digitized archive article.,['For Deaf-Mutes Only.']
nyt://article/43c620fc-d1ae-553f-a1c7-1e75c778401e,Success,"[""ADVERTISEMENT Among the more than 7,000 people crowded into the hall one day were a group of deaf mute people from Granada, the St. Sodality Centenary Pilgrimage from Dublin, the Princeton's Boys Choir, members of the Knights of Columbus from New York, a group from the United States armed forces and their families, Slovak pilgrims and African students.""]"
nyt://article/441a49eb-04e5-5116-9cbc-900cab0188bf,Success,"['HUTCHINGS, of the Twenty-third Precinct Police, learned from Police Surgeon MCDONNELL yesterday, that a deaf mute, whose name does not appear, had been clubbed, and lay in a perilous condition in Eighty-seventh-street, near Fifth-avenue.']"
nyt://article/443aef6a-6e57-52be-b21b-dab4f924781c,Success,"['After three days of wandering Belgrade like a deaf- mute, I suddenly realized that Chinese would be even harder to learn than Serbo- Croatian.']"
nyt://article/444b77bd-7b0f-5d6b-a877-90a06a700b6f,Full text is unavailable for this digitized archive article.,['Marriage of Deaf Mutes in Cleveland.']
nyt://article/448464d8-e89f-5f1f-8707-a00b5cf121b3,Success,"['As a detective, he had impersonated Santa Claus, a hot‐dog vender, a deaf‐mute, a priest and a theatrical agent in order to raise his total of “collars,” which finally amounted, he maintained, to more than 8,000 arrests in 16 years.']"
nyt://article/44a511d2-0d45-56a9-9bbb-387d3f44c299,Full text is unavailable for this digitized archive article.,['CRAZED BY EFFORT TO TALK.; Deaf Mute Had Learned a Few Words After Years of Silence.']
nyt://article/44aaaeaa-ad10-5971-adc2-1073cbf179e9,Success,"[""Among the film's more piquant historical touches are a scene in which deaf-mutes mocked by these aristocrats wind up having the last laugh, and another in which a visit is paid to the French court by an American Sioux warrior, whose regalia is duly criticized.""]"
nyt://article/44ae8848-1c58-5098-8c7f-5e76d97adb58,Success,"[""Rembrandt's “RatKiller,” with his shelf of dead rats round his neck and his “guiding” rat attendant, exercises him deeply, as do Brueghel, Bosch, El Greco and Avercamp, the deaf‐mute painter whose figures turn their backs to us.""]"
nyt://article/45436573-5271-5a55-868f-3e99488d69ce,Full text is unavailable for this digitized archive article.,['DEDICATE HOUSE FOR DEAF MUTES; Bishop Greer Officiates at Services in the Gallaudet Memorial Guild Building.']
nyt://article/457d4e9a-dc0d-5366-8932-e995972a8d4f,Success,"['They settle, on a beautiful deaf‐mute (Miss Mangano), who is also, apparently, holy.']"
nyt://article/45d1989a-9e7a-5f6e-abfc-e8658ede735f,Success,['Signing Prevents a Suicide A police officer who is fluent in sign language was able to persuade a deaf and mute man standing on a ledge of a 32-story building in Washington Heights not to jump.']
nyt://article/46677fea-365f-5af2-9f42-e6b7a4f99729,Success,"['By degrees he became first deaf and then dumb.', 'CURE OF A DEAF MUTE. LOUIS LOEWEINSTEIN,']"
nyt://article/4715f085-08d3-52a0-a81d-1bca336e3099,Success,"['The film, about a young man who has anonymous sex with a deaf-mute pickpocket, was screened at the Cannes and Toronto film festivals.']"
